Name                          Rating      Wins      Losses    Stat        Games       SOS         
Arizona                       6.183029    11        0         2.612432    2.372126    0.495263    
Purdue                        6.091427    10        1         2.542180    2.337602    0.809749    
Gonzaga                       5.990470    9         2         2.254280    1.998465    0.779068    
Baylor                        5.511322    10        0         1.875309    2.376346    0.139867    
Xavier                        5.204247    11        1         2.038483    2.034867    1.019407    
LSU                           5.135966    11        0         1.863533    2.277063    0.459467    
Houston                       5.048507    10        2         1.674228    1.919435    0.538728    
Ohio State                    4.987029    8         2         0.906343    2.260269    2.607181    
Seton Hall                    4.949708    9         1         1.993022    1.761507    1.093554    
Illinois                      4.829771    8         3         1.410524    1.494193    1.505199    
Michigan State                4.802511    9         2         1.259537    2.058765    2.435875    
Alabama                       4.798758    9         2         0.702140    2.312471    2.911440    
Michigan                      4.783683    7         4         1.063686    1.633272    2.024230    
Duke                          4.614435    10        1         1.537876    1.586855    0.441570    
USC                           4.611354    12        0         1.240741    2.033653    0.625659    
Kansas                        4.585072    9         1         1.563792    1.573254    1.339007    
UCLA                          4.525408    8         1         1.102236    2.408891    0.676795    
Tennessee                     4.394198    8         2         1.570564    1.575970    0.467138    
Villanova                     4.363722    7         4         0.835332    1.923113    1.896390    
UConn                         4.288406    9         3         1.891938    1.326144    -0.062120   
Auburn                        4.267298    10        1         1.269345    1.910135    1.001509    
Kentucky                      4.171791    8         2         1.976892    1.138971    -1.289385   
BYU                           4.131691    9         2         0.782839    1.900793    1.812016    
Wisconsin                     3.923322    9         2         0.361821    2.110775    1.852924    
Providence                    3.911686    11        1         1.357789    1.800111    0.454354    
Indiana                       3.901407    9         2         1.476326    1.565885    -0.008427   
Texas                         3.839074    7         2         1.562668    1.334155    -0.241096   
Loyola (IL)                   3.767417    9         2         1.192785    1.387458    0.896680    
UNC                           3.671027    8         3         1.004007    1.357816    1.177929    
Florida                       3.646116    8         3         1.153851    1.520348    0.405774    
Iowa                          3.635083    8         3         0.853932    1.422706    0.042709    
Oklahoma                      3.550198    8         2         0.955299    1.688278    0.152651    
Memphis                       3.547658    6         4         0.652433    1.450146    1.725084    
Texas Tech                    3.510954    8         2         1.777812    1.176528    -1.731712   
Saint Mary's                  3.373619    10        3         1.322432    1.112224    0.919692    
San Francisco                 3.315398    10        1         1.657642    1.431570    -0.136268   
Mississippi State             3.275034    8         3         1.589814    0.960798    0.042709    
Minnesota                     3.167977    9         1         0.279234    1.884770    0.735602    
Utah State                    3.156792    8         4         0.719794    1.284296    0.958044    
Creighton                     3.153803    9         3         0.909589    1.084713    0.377650    
Colorado State                3.082282    10        0         1.223338    1.304916    -0.008427   
Arkansas                      3.014278    9         2         0.978776    1.043591    -0.328028   
San Diego State               2.962735    7         3         0.457550    1.265206    1.203497    
Maryland                      2.943947    6         4         0.272230    1.312543    1.331337    
West Virginia                 2.924696    10        1         0.300526    1.435185    0.451797    
Virginia Tech                 2.910317    8         4         0.445175    1.590110    0.295832    
Florida State                 2.856173    6         4         0.477074    1.077816    0.717704    
