Abilene Christian,-2.80,.475,.393,.546,51.4,50.3,7.5,9.0,.501,26.2,26.9,.337
Air Force,2.04,.396,.331,.561,55.4,47.3,8.1,12.1,.515,17.9,28.9,.302
Akron,-4.35,.250,.354,.512,46.1,40.0,8.5,7.2,.486,15.7,24.2,.174
Alabama A&M,-8.37,.297,.408,.504,51.8,58.2,11.0,6.4,.473,17.2,31.1,.204
UAB,-0.82,.298,.372,.507,47.1,47.4,7.2,8.6,.474,20.7,24.9,.211
Alabama State,-4.86,.335,.383,.541,52.1,55.0,10.4,10.5,.505,16.9,33.4,.245
Alabama,12.02,.339,.359,.524,47.7,46.0,10.0,11.4,.489,15.3,30.9,.239
Albany (NY),-5.15,.312,.378,.538,51.7,54.3,7.9,11.5,.507,18.0,27.3,.221
Alcorn State,-2.56,.359,.360,.555,49.3,58.9,9.9,8.8,.523,16.9,26.8,.254
American,-7.25,.277,.345,.558,52.1,50.3,10.2,7.8,.536,15.1,24.2,.191
Appalachian State,-0.81,.213,.393,.507,49.6,55.2,7.7,9.1,.478,16.4,23.9,.159
Arizona State,10.60,.336,.407,.507,52.8,55.6,8.8,8.2,.466,16.6,30.5,.244
Arizona,6.38,.226,.346,.459,44.3,46.1,9.3,6.6,.433,15.4,26.7,.151
Little Rock,-0.20,.280,.395,.567,52.9,57.5,8.8,7.5,.545,18.3,27.5,.194
Arkansas-Pine Bluff,-3.88,.339,.311,.577,55.8,53.4,10.6,9.9,.544,16.6,30.4,.251
Arkansas State,-2.93,.295,.332,.512,49.0,48.1,10.1,7.9,.481,17.3,27.9,.206
Arkansas,7.02,.311,.399,.510,47.1,53.4,9.1,8.6,.474,18.7,24.8,.224
Army,-6.83,.223,.402,.528,48.6,53.4,10.9,11.0,.510,17.5,26.2,.148
Auburn,8.69,.355,.371,.488,47.1,48.2,10.2,9.9,.440,17.8,27.7,.261
Austin Peay,-2.76,.351,.379,.555,51.4,54.4,10.5,11.0,.526,18.7,28.9,.243
Ball State,-3.96,.324,.421,.553,50.3,50.0,10.3,9.0,.522,15.3,27.4,.232
Baylor,8.66,.276,.354,.504,46.2,54.7,9.5,7.4,.474,20.5,28.1,.194
Bellarmine,-0.72,.286,.468,.547,51.3,52.7,7.8,6.6,.521,16.1,25.7,.200
Belmont,-2.55,.231,.401,.523,49.8,53.9,9.4,9.9,.499,18.7,27.0,.162
Bethune-Cookman,-5.65,.342,.381,.544,51.9,52.9,10.0,11.0,.507,18.2,29.2,.253
Binghamton,-6.27,.293,.364,.509,49.3,42.4,10.0,9.4,.481,14.8,27.6,.197
Boise State,5.16,.262,.330,.507,45.6,42.1,7.4,8.6,.476,18.2,20.2,.189
Boston College,4.82,.320,.372,.546,49.1,50.4,9.8,10.8,.506,16.5,25.7,.245
Boston University,-7.55,.286,.321,.534,46.2,47.3,10.5,11.2,.502,15.4,23.1,.209
Bowling Green State,-4.46,.298,.428,.554,49.2,49.3,8.4,6.3,.522,15.7,28.2,.222
Bradley,1.28,.304,.377,.504,45.0,43.7,10.5,6.4,.463,16.1,22.6,.229
Brigham Young,5.77,.291,.374,.507,45.1,50.1,8.7,8.0,.478,14.1,22.7,.198
Brown,-1.94,.324,.380,.536,49.2,45.9,9.0,7.2,.505,18.2,26.0,.228
Bryant,-7.05,.252,.335,.496,48.6,55.1,9.7,12.3,.471,13.9,31.1,.169
Bucknell,-6.08,.235,.378,.556,52.9,51.2,11.8,7.8,.529,11.8,29.1,.177
Buffalo,-3.40,.294,.324,.502,44.5,43.2,8.2,8.0,.469,14.7,26.4,.206
Butler,9.02,.287,.382,.525,50.8,50.2,9.0,13.9,.492,15.5,27.0,.210
Cal Poly,-2.62,.368,.364,.524,48.8,50.3,9.3,7.6,.480,15.6,26.4,.271
Cal State Bakersfield,-0.95,.482,.421,.559,47.6,53.1,8.4,5.1,.511,19.1,24.1,.351
Cal State Fullerton,-2.37,.266,.365,.538,48.3,52.7,9.5,8.3,.514,18.0,24.4,.184
Cal State Northridge,-0.68,.325,.392,.553,53.8,58.2,8.5,6.7,.512,17.4,31.3,.253
California Baptist,-2.15,.333,.333,.496,47.6,53.6,8.6,6.5,.462,15.3,24.6,.226
UC Davis,-4.01,.369,.328,.514,50.7,47.6,8.3,6.0,.474,17.1,28.7,.260
UC Irvine,0.37,.298,.336,.466,46.2,48.2,9.6,6.6,.426,15.8,25.0,.212
UC Riverside,-1.30,.275,.307,.490,47.5,49.0,8.1,7.8,.457,14.6,20.6,.194
UC San Diego,-2.59,.213,.333,.535,53.3,46.9,9.0,8.9,.514,15.9,24.5,.150
UC Santa Barbara,-4.01,.311,.334,.507,46.8,52.1,9.1,7.0,.468,16.9,25.4,.228
California,6.96,.305,.355,.509,48.9,40.7,8.7,8.6,.467,13.1,23.0,.232
Campbell,-5.49,.272,.390,.521,49.6,46.3,9.4,8.5,.498,16.8,22.8,.182
Canisius,-2.00,.319,.311,.543,50.9,48.9,7.7,12.5,.512,16.5,26.9,.228
Central Arkansas,-0.92,.298,.374,.563,51.7,53.1,10.4,8.4,.535,14.9,28.2,.216
Central Connecticut State,-6.40,.292,.392,.555,53.5,53.2,10.4,11.4,.529,16.3,30.5,.207
Central Florida,4.85,.304,.420,.521,49.5,54.3,10.4,10.2,.484,18.2,28.9,.223
Central Michigan,-0.94,.360,.424,.564,53.9,53.6,9.1,10.2,.534,14.5,29.9,.254
Charleston Southern,-3.70,.293,.381,.562,50.3,52.3,10.7,8.6,.530,15.9,25.1,.219
Charlotte,0.51,.257,.361,.560,51.3,46.5,8.4,9.5,.528,15.0,25.5,.200
Chattanooga,-1.29,.260,.401,.510,46.6,45.5,8.3,10.1,.481,16.3,26.2,.182
Chicago State,-1.70,.383,.359,.571,51.5,57.3,10.1,10.6,.535,16.3,29.1,.281
Cincinnati,3.30,.325,.306,.487,49.5,52.1,8.4,9.2,.448,15.8,28.6,.228
The Citadel,-1.69,.257,.397,.528,50.2,49.9,9.6,9.9,.497,12.5,27.0,.190
Clemson,6.08,.291,.422,.537,48.3,49.9,8.1,10.7,.499,15.0,23.8,.224
Cleveland State,-5.76,.325,.434,.527,48.1,53.0,10.6,8.7,.487,18.8,30.1,.244
Coastal Carolina,-2.01,.243,.455,.484,45.9,56.0,10.6,6.9,.451,15.2,29.0,.179
Colgate,-6.30,.252,.350,.511,48.0,53.4,9.2,8.8,.488,14.2,24.3,.169
College of Charleston,-1.53,.383,.343,.551,45.7,46.3,10.2,13.4,.513,17.3,24.5,.276
Colorado State,4.17,.251,.450,.524,49.6,48.3,8.4,8.8,.498,16.3,23.5,.176
Colorado,5.98,.263,.368,.506,46.2,44.6,10.4,9.1,.476,15.6,24.6,.187
Columbia,-4.24,.254,.425,.569,50.8,51.2,11.8,8.8,.544,14.6,27.4,.187
Connecticut,7.00,.328,.319,.488,45.0,44.4,9.1,7.7,.453,16.4,25.7,.224
Coppin State,-3.31,.276,.427,.531,55.7,55.2,9.3,9.9,.503,17.4,30.7,.196
Cornell,-2.81,.305,.429,.526,48.9,49.6,9.3,9.8,.498,16.5,27.3,.209
Creighton,7.34,.208,.326,.481,48.2,46.6,9.9,9.6,.452,13.8,27.9,.152
Dartmouth,-2.22,.283,.372,.543,51.9,43.4,9.2,7.1,.515,16.9,25.9,.202
Davidson,1.08,.270,.439,.522,47.6,51.5,7.9,7.1,.490,15.6,22.3,.199
Dayton,1.87,.234,.378,.500,45.1,54.7,9.7,10.7,.471,16.5,23.3,.168
Delaware State,-6.81,.308,.447,.529,52.6,63.1,10.9,8.9,.497,16.6,32.5,.218
Delaware,-3.11,.289,.353,.535,50.9,46.7,9.5,8.0,.499,16.2,30.3,.219
Denver,-5.50,.314,.399,.550,51.5,46.1,7.8,9.2,.517,14.8,27.9,.231
DePaul,6.33,.266,.365,.516,48.2,48.1,9.3,8.6,.481,15.1,27.7,.200
Detroit Mercy,-4.41,.297,.408,.558,50.9,58.4,9.3,6.9,.534,16.9,26.8,.206
Dixie State,-0.23,.290,.385,.526,49.2,52.9,10.4,11.1,.499,16.7,24.9,.200
Drake,1.22,.326,.385,.530,47.7,44.2,8.2,7.9,.494,17.6,23.1,.238
Drexel,-1.97,.257,.324,.530,49.7,41.3,9.4,6.4,.504,14.2,25.6,.181
Duke,5.90,.187,.335,.479,46.5,51.3,9.0,8.1,.460,14.3,26.8,.123
Duquesne,2.56,.213,.322,.552,52.0,53.3,8.8,10.0,.533,16.1,31.0,.151
East Carolina,2.59,.311,.413,.534,50.4,61.6,9.9,11.9,.505,16.5,27.6,.216
East Tennessee State,0.39,.251,.465,.551,49.9,55.2,9.0,7.5,.527,14.6,29.8,.180
Eastern Illinois,-3.31,.241,.436,.549,55.6,61.0,12.9,12.9,.529,16.1,32.3,.165
Eastern Kentucky,-4.99,.275,.391,.555,52.6,55.4,8.3,9.3,.530,20.8,30.0,.196
Eastern Michigan,-1.93,.301,.356,.538,52.8,45.5,9.4,9.6,.510,15.3,28.2,.211
Eastern Washington,-4.47,.319,.419,.538,47.7,48.2,8.3,8.2,.499,14.3,23.2,.242
Elon,1.51,.431,.386,.547,51.4,48.8,11.0,9.6,.498,14.5,28.0,.323
Evansville,1.92,.300,.336,.583,56.0,45.5,8.2,8.6,.557,16.2,21.1,.219
Fairfield,-4.24,.309,.305,.516,49.4,42.3,7.8,9.0,.483,14.6,26.8,.217
Fairleigh Dickinson,-5.17,.343,.348,.565,54.1,57.3,8.9,10.4,.538,15.5,34.3,.238
Florida A&M,-5.89,.380,.366,.521,52.7,51.7,9.3,5.0,.489,16.3,32.4,.251
Florida Atlantic,-1.07,.313,.334,.534,46.6,45.9,8.4,8.5,.506,17.3,23.3,.216
Florida Gulf Coast,-4.41,.250,.380,.517,47.4,51.2,9.2,7.3,.494,14.4,26.0,.169
Florida International,-3.14,.303,.386,.522,50.6,54.0,9.9,9.9,.490,16.5,28.5,.215
Florida State,7.28,.313,.431,.552,50.1,56.7,8.7,8.0,.523,19.1,29.8,.223
Florida,7.67,.295,.324,.514,50.9,47.6,10.9,9.6,.482,18.8,32.2,.207
Fordham,-0.23,.306,.338,.507,50.4,48.5,8.7,10.1,.477,17.6,26.3,.208
Fresno State,2.74,.264,.429,.507,46.3,50.5,8.5,6.3,.478,17.8,20.7,.185
Furman,-1.23,.241,.366,.536,49.9,51.7,8.9,10.1,.510,16.8,27.3,.177
Gardner-Webb,-4.11,.335,.417,.492,48.0,52.6,9.4,8.7,.449,16.8,22.3,.242
George Mason,2.30,.287,.434,.535,48.2,51.5,10.2,9.2,.503,15.7,21.9,.211
George Washington,1.03,.292,.339,.527,54.2,51.5,9.1,10.0,.496,16.1,31.2,.208
Georgetown,7.51,.279,.423,.560,49.5,60.6,10.3,10.4,.533,15.9,28.2,.202
Georgia Southern,-2.88,.327,.395,.509,49.8,50.2,11.3,7.9,.474,17.8,28.7,.227
Georgia State,-2.00,.312,.375,.515,48.7,58.1,9.5,8.5,.484,21.3,28.3,.215
Georgia Tech,5.99,.321,.388,.526,50.9,59.1,9.4,8.5,.492,16.6,27.9,.230
Georgia,8.34,.244,.406,.565,50.7,56.6,11.5,14.2,.545,13.6,29.1,.173
Gonzaga,3.75,.220,.333,.456,43.7,41.5,8.2,6.9,.427,15.0,22.0,.152
Grambling,-3.86,.386,.360,.518,51.8,51.9,10.3,11.2,.483,16.8,30.1,.261
Grand Canyon,-2.66,.300,.346,.468,45.9,42.1,8.8,8.2,.430,16.8,26.9,.211
Green Bay,-4.88,.317,.347,.561,51.6,48.1,10.7,8.7,.524,16.2,25.8,.242
Hampton,-5.83,.355,.339,.501,53.5,46.8,8.8,8.4,.467,14.9,29.3,.238
Hartford,-7.18,.293,.397,.552,51.5,48.1,9.7,9.4,.521,14.5,27.9,.217
Harvard,-4.13,.307,.393,.544,50.3,51.5,8.8,9.2,.512,19.6,23.5,.222
Hawaii,-2.37,.304,.304,.499,46.7,36.5,9.7,8.5,.463,13.8,22.5,.216
High Point,-2.79,.332,.371,.514,50.6,54.5,9.8,8.8,.485,15.4,29.8,.219
Hofstra,-0.60,.240,.424,.549,51.4,56.9,7.4,8.1,.524,17.9,25.6,.175
Holy Cross,-7.29,.294,.331,.546,51.0,50.8,8.8,8.4,.522,16.0,27.7,.201
