Abilene Christian,-3.03,.358,.359,.538,48.8,57.4,15.1,6.5,.497,15.2,27.7,.266
Air Force,2.00,.253,.451,.533,44.4,57.9,8.8,9.6,.514,19.6,18.7,.166
Akron,-4.29,.400,.420,.565,53.9,48.6,8.4,9.3,.537,15.7,31.1,.271
Alabama A&M,-8.14,.322,.251,.457,48.0,43.7,10.7,8.1,.414,17.5,27.8,.225
UAB,-0.80,.272,.321,.553,52.6,43.9,14.2,12.3,.524,13.0,31.8,.199
Alabama State,-4.41,.373,.326,.518,48.0,49.9,10.7,9.3,.482,18.7,29.5,.256
Alabama,12.16,.329,.471,.550,52.2,51.7,9.5,13.0,.516,16.1,35.3,.239
Albany (NY),-5.27,.263,.321,.504,48.9,41.0,9.7,7.5,.473,16.7,26.3,.187
Alcorn State,-2.24,.323,.300,.498,50.5,42.6,10.9,7.3,.457,17.7,30.3,.235
American,-7.35,.250,.281,.516,47.5,48.8,9.6,8.0,.493,17.9,20.7,.170
Appalachian State,-0.86,.261,.428,.509,50.4,52.2,8.7,6.5,.486,13.2,26.5,.172
Arizona State,10.74,.212,.373,.483,47.0,52.7,9.7,12.2,.461,15.3,25.7,.143
Arizona,6.17,.333,.362,.583,55.9,66.0,8.9,14.1,.555,15.6,34.5,.240
Little Rock,-0.23,.326,.377,.518,47.1,55.7,10.0,6.2,.479,17.8,23.2,.238
Arkansas-Pine Bluff,-3.16,.336,.406,.501,43.5,50.5,10.0,6.6,.463,17.0,21.4,.236
Arkansas State,-2.90,.327,.308,.540,51.0,61.8,11.3,9.1,.502,17.4,28.7,.242
Arkansas,6.46,.371,.337,.538,53.2,53.2,10.9,12.3,.494,14.7,30.8,.277
Army,-6.61,.314,.356,.517,51.4,49.9,11.3,5.1,.497,16.4,30.0,.193
Auburn,8.33,.317,.396,.546,53.5,51.3,11.8,22.6,.512,14.2,33.2,.233
Austin Peay,-2.10,.270,.443,.514,48.3,58.9,9.4,5.7,.484,18.3,28.1,.192
Ball State,-3.61,.380,.411,.557,49.5,52.1,8.6,6.9,.526,17.5,26.0,.263
Baylor,8.16,.273,.380,.557,53.9,56.9,13.3,9.3,.535,15.8,35.9,.188
Bellarmine,-0.54,.224,.402,.566,48.8,55.1,8.5,6.0,.543,13.5,22.3,.167
Belmont,-2.37,.269,.438,.587,50.2,63.2,12.8,11.1,.562,14.8,24.7,.200
Bethune-Cookman,-5.77,.270,.245,.480,48.3,45.2,11.8,7.7,.450,17.1,27.4,.183
Binghamton,-6.42,.242,.356,.526,50.8,45.1,8.5,10.1,.506,16.3,28.3,.160
Boise State,5.08,.350,.391,.532,54.3,46.5,8.8,10.7,.508,15.8,30.2,.225
Boston College,4.54,.282,.321,.500,51.2,48.3,11.0,9.1,.468,15.1,30.8,.199
Boston University,-7.49,.293,.379,.553,53.7,43.5,8.6,6.9,.523,16.3,30.7,.214
Bowling Green State,-4.13,.320,.366,.538,50.9,44.1,10.2,8.8,.501,14.1,31.4,.238
Bradley,1.33,.280,.397,.538,54.9,52.4,9.2,13.0,.514,17.2,32.0,.191
Brigham Young,6.18,.264,.374,.548,54.9,52.7,7.2,8.9,.520,16.1,31.0,.194
Brown,-1.53,.297,.395,.525,50.7,47.4,10.0,10.8,.493,16.1,28.3,.213
Bryant,-7.45,.323,.438,.538,51.3,52.9,8.5,9.7,.503,15.8,32.3,.234
Bucknell,-6.23,.283,.376,.553,47.3,56.6,6.5,7.8,.520,17.7,21.1,.216
Buffalo,-3.08,.267,.384,.552,55.4,50.4,9.8,10.7,.528,15.3,36.9,.189
Butler,8.85,.290,.419,.518,49.0,48.6,7.9,7.2,.488,16.6,26.0,.203
Cal Poly,-2.68,.376,.346,.500,51.2,49.3,7.2,7.1,.455,19.8,27.2,.269
Cal State Bakersfield,-1.16,.310,.240,.495,52.5,41.0,9.6,8.2,.456,15.0,32.2,.222
Cal State Fullerton,-2.25,.367,.301,.540,51.8,45.1,10.4,5.5,.492,15.8,28.1,.285
Cal State Northridge,-0.70,.297,.294,.485,46.1,40.1,11.0,8.2,.451,15.9,25.9,.204
California Baptist,-2.29,.377,.415,.547,52.9,66.0,7.3,7.4,.517,17.5,28.1,.256
UC Davis,-3.57,.291,.313,.531,49.2,43.8,9.0,7.4,.505,15.7,25.7,.197
UC Irvine,0.41,.299,.272,.523,53.8,44.4,9.0,9.7,.485,17.4,30.7,.224
UC Riverside,-1.56,.258,.411,.524,52.2,54.7,8.1,3.2,.497,16.1,23.4,.182
UC San Diego,-2.78,.320,.459,.554,46.6,56.4,8.4,4.6,.520,16.9,16.0,.236
UC Santa Barbara,-4.31,.379,.306,.569,53.7,59.3,9.1,7.8,.539,17.2,30.1,.266
California,6.90,.249,.310,.512,51.0,44.2,7.3,7.0,.481,15.3,24.3,.184
Campbell,-5.86,.265,.365,.547,50.7,56.6,9.5,6.2,.527,14.4,22.9,.178
Canisius,-2.04,.307,.402,.498,49.1,53.4,8.6,6.4,.464,15.0,28.6,.214
Central Arkansas,-0.59,.228,.352,.524,48.4,51.5,9.4,7.2,.495,16.6,25.6,.173
Central Connecticut State,-6.48,.298,.387,.496,46.4,49.1,9.3,6.2,.463,18.1,24.9,.208
Central Florida,4.81,.290,.426,.532,50.5,57.7,10.0,10.6,.503,16.7,30.2,.206
Central Michigan,-0.89,.302,.395,.509,46.3,49.6,9.3,9.2,.479,17.4,23.3,.205
Charleston Southern,-3.78,.304,.458,.501,49.6,50.3,9.5,8.5,.470,17.9,26.7,.207
Charlotte,0.34,.283,.401,.575,49.2,57.5,7.0,7.8,.541,16.0,21.6,.223
Chattanooga,-1.27,.264,.394,.568,53.3,48.1,10.7,6.7,.540,14.4,31.8,.199
Chicago State,-1.92,.310,.445,.491,48.5,44.8,8.1,5.8,.461,19.7,28.9,.206
Cincinnati,3.42,.291,.418,.506,50.4,52.5,9.2,10.3,.477,13.2,30.3,.197
The Citadel,-2.06,.292,.508,.559,49.8,60.5,6.6,9.2,.539,15.1,25.0,.196
Clemson,6.11,.291,.375,.556,51.5,56.2,8.7,7.0,.526,14.7,26.0,.214
Cleveland State,-6.01,.368,.346,.566,51.9,60.7,12.1,10.8,.542,16.6,32.4,.246
Coastal Carolina,-2.02,.315,.357,.546,54.1,51.6,9.8,11.5,.517,16.5,35.1,.220
Colgate,-6.49,.249,.427,.573,52.2,60.4,8.7,9.4,.554,14.8,26.9,.173
College of Charleston,-1.66,.311,.386,.532,54.4,48.8,11.1,7.2,.496,17.3,35.2,.228
Colorado State,3.89,.304,.391,.592,49.9,53.6,9.2,10.3,.558,13.3,20.7,.240
Colorado,5.38,.372,.327,.545,53.8,53.5,7.8,8.8,.501,18.0,30.0,.280
Columbia,-4.37,.258,.352,.513,49.3,48.3,8.2,5.9,.495,19.1,26.8,.160
Connecticut,6.97,.321,.347,.536,55.0,53.3,9.2,16.8,.498,14.7,35.5,.240
Coppin State,-3.12,.346,.494,.497,44.5,48.2,10.3,7.9,.460,17.3,20.1,.238
Cornell,-2.92,.326,.462,.575,51.4,61.9,10.3,8.3,.549,17.5,27.9,.230
Creighton,7.06,.264,.381,.544,52.0,52.5,7.9,10.6,.517,18.5,28.6,.192
Dartmouth,-2.25,.228,.452,.520,47.9,42.9,9.9,9.7,.490,15.2,23.2,.173
